Word,Prefix_Stem,Prefix_Suffix,Suffix_Stem,Suffix_Suffix
costs,co,sts,cost,s
servants,s,ervants,servant,s
criticisms,c,riticisms,criticism,s
jury,ju,ry,jur,y
airport,a,irport,airpor,t
jury,ju,ry,jur,y
management,ma,nagement,managemen,t
charge,c,harge,charg,e
airport,a,irport,airpor,t
manner,ma,nner,mann,er
influences,in,fluences,influence,s
jury,ju,ry,jur,y
surveillance,s,urveillance,surveillanc,e
practices,p,ractices,practice,s
concessionaires,co,ncessionaires,concessionaire,s
purpose,p,urpose,purpos,e
prices,p,rices,price,s
matters,ma,tters,matter,s
jury,ju,ry,jur,y
deputies,de,puties,deputie,s
doctor,do,ctor,doct,or
intern,in,tern,inter,n
extern,e,xtern,exter,n
night,ni,ght,nigh,t
weekend,we,ekend,weeken,d
duty,du,ty,dut,y
jail,ja,il,j,ail
legislators,le,gislators,legislator,s
city,c,ity,cit,y
officials,o,fficials,official,s
legislation,le,gislation,legislati,on
establishment,e,stablishment,establishmen,t
pension,p,ension,pensi,on
plan,p,lan,pl,an
city,c,ity,cit,y
employes,e,mployes,employe,s
jury,ju,ry,jur,y
administration,a,dministration,administrati,on
operation,o,peration,operati,on
prison,p,rison,pris,on
farms,fa,rms,farm,s
suit,s,uit,sui,t
divorce,di,vorce,divorc,e
wife,wi,fe,wif,e
petition,p,etition,petiti,on
cruelty,c,ruelty,cruelt,y
couple,co,uple,coupl,e
son,s,on,s,on
daughter,da,ughter,daught,er
Attorneys,A,ttorneys,Attorney,s
mayor,ma,yor,may,or
property,pro,perty,propert,y
settlement,s,ettlement,settlemen,t
petition,p,etition,petiti,on
occupation,o,ccupation,occupati,on
attorney,a,ttorney,attorne,y
age,a,ge,ag,e
age,a,ge,ag,e
place,p,lace,plac,e
birth,bi,rth,bir,th
petition,p,etition,petiti,on
couple,co,uple,coupl,e
man,ma,n,m,an
wife,wi,fe,wif,e
year,y,ear,ye,ar
petition,p,etition,petiti,on
attorney,a,ttorney,attorne,y
mayor,ma,yor,may,or
exception,e,xception,excepti,on
interlude,in,terlude,interlud,e
career,ca,reer,care,er
election,e,lection,electi,on
city,c,ity,cit,y
council,co,uncil,counci,l
term,te,rm,ter,m
office,o,ffice,offic,e
candidate,ca,ndidate,candidat,e
primary,p,rimary,primar,y
reelection,re,election,reelecti,on
encouragement,e,ncouragement,encouragemen,t
candidate,ca,ndidate,candidat,e
race,ra,ce,rac,e
official,o,fficial,offici,al
state,s,tate,stat,e
GOP,G,OP,GO,P
chairman,c,hairman,chairm,an
meeting,m,eeting,meet,ing
night,ni,ght,nigh,t
responses,re,sponses,response,s
audience,a,udience,audienc,e
enthusiasm,e,nthusiasm,enthusias,m
state,s,tate,stat,e
rally,ra,lly,rall,y
speaker,s,peaker,speak,er
meeting,m,eeting,meet,ing
audience,a,udience,audienc,e
candidate,ca,ndidate,candidat,e
governor,g,overnor,govern,or
petitions,p,etitions,petition,s
precincts,p,recincts,precinct,s
signatures,s,ignatures,signature,s
voters,vo,ters,voter,s
vote,vo,te,vot,e
candidate,ca,ndidate,candidat,e
crowd,c,rowd,crow,d
term,te,rm,ter,m
race,ra,ce,rac,e
dissents,dis,sents,dissent,s
hurdle,hu,rdle,hurdl,e
state,s,tate,stat,e
law,la,w,l,aw
race,ra,ce,rac,e
courses,co,urses,course,s
cent,c,ent,cen,t
voters,vo,ters,voter,s
county,co,unty,count,y
petitions,p,etitions,petition,s
names,na,mes,name,s
candidates,ca,ndidates,candidate,s
election,e,lection,electi,on
ballot,ba,llot,ballo,t
primary,p,rimary,primar,y
county,co,unty,count,y
unit,un,it,uni,t
system,s,ystem,syste,m
system,s,ystem,syste,m
party,pa,rty,part,y
platform,p,latform,platfor,m
relations,re,lations,relation,s
director,di,rector,direct,or
campaign,ca,mpaign,campaig,n
resignation,re,signation,resignati,on
time,t,ime,tim,e
assistant,a,ssistant,assistan,t
years,y,ears,year,s
campaign,ca,mpaign,campaig,n
campaign,ca,mpaign,campaig,n
coordinator,co,ordinator,coordinat,or
session,s,ession,sessi,on
highway,hi,ghway,highwa,y
bond,bo,nd,bon,d
money,m,oney,mone,y
adjournment,a,djournment,adjournmen,t
afternoon,a,fternoon,afterno,on
study,s,tudy,stud,y
number,nu,mber,numb,er
legislators,le,gislators,legislator,s
areas,a,reas,area,s
adjustments,a,djustments,adjustment,s
visit,vi,sit,visi,t
chambers,c,hambers,chamber,s
adjournment,a,djournment,adjournmen,t
$100,$1,00,$10,0
highway,hi,ghway,highwa,y
bond,bo,nd,bon,d
issue,i,ssue,issu,e
session,s,ession,sessi,on
priority,p,riority,priorit,y
item,i,tem,ite,m
$30,$,30,$3,0
worth,wo,rth,wor,th
highway,hi,ghway,highwa,y
reconstruction,re,construction,reconstructi,on
bonds,bo,nds,bond,s
bond,bo,nd,bon,d
issue,i,ssue,issu,e
state,s,tate,stat,e
courts,co,urts,court,s
test,te,st,tes,t
suit,s,uit,sui,t
validity,va,lidity,validit,y
act,a,ct,ac,t
sales,sa,les,sale,s
contracts,co,ntracts,contract,s
repair,re,pair,repai,r
work,work,,wor,k
highways,hi,ghways,highway,s
source,s,ource,sourc,e
plan,p,lan,pl,an
worth,wo,rth,wor,th
bonds,bo,nds,bond,s
road,ro,ad,roa,d
construction,co,nstruction,constructi,on
work,work,,wor,k
department,de,partment,departmen,t
fund,f,und,fun,d
bonds,bo,nds,bond,s
time,t,ime,tim,e
portion,po,rtion,porti,on
ones,o,nes,one,s
tax,ta,x,ta,x
authorities,a,uthorities,authoritie,s
race,ra,ce,rac,e
governor,g,overnor,govern,or
battle,ba,ttle,battl,e
issuance,i,ssuance,issuanc,e
$50,$,50,$5,0
worth,wo,rth,wor,th
roads,ro,ads,road,s
bonds,bo,nds,bond,s
source,s,ource,sourc,e
plans,p,lans,plan,s
roads,ro,ads,road,s
bonds,bo,nds,bond,s
resolution,re,solution,resoluti,on
action,a,ction,acti,on
$10,$1,0,$1,0
day,da,y,da,y
increase,in,crease,increas,e
expense,e,xpense,expens,e
allowances,a,llowances,allowance,s
night,ni,ght,nigh,t
research,re,search,researc,h
quickie,qui,ckie,quicki,e
vote,vo,te,vot,e
increase,in,crease,increas,e
notice,no,tice,notic,e
reconsideration,re,consideration,reconsiderati,on
action,a,ction,acti,on
details,de,tails,detail,s
resolution,re,solution,resoluti,on
privilege,p,rivilege,privileg,e
resolution,re,solution,resoluti,on
resolution,re,solution,resoluti,on
vote,vo,te,vot,e
night,ni,ght,nigh,t
word,wo,rd,wor,d
resolution,re,solution,resoluti,on
action,a,ction,acti,on
voters,vo,ters,voter,s
amendment,a,mendment,amendmen,t
legislators,le,gislators,legislator,s
pay,pa,y,pa,y
raises,ra,ises,raise,s
sessions,s,essions,session,s
legislator,le,gislator,legislat,or
aid,a,id,ai,d
education,e,ducation,educati,on
past,pa,st,pas,t
privilege,p,rivilege,privileg,e
resolution,re,solution,resoluti,on
support,s,upport,suppor,t
education,e,ducation,educati,on
funds,f,unds,fund,s
state,s,tate,stat,e
funds,f,unds,fund,s
year,y,ear,ye,ar
legislator,le,gislator,legislat,or
members,m,embers,member,s
delegation,de,legation,delegati,on
resolution,re,solution,resoluti,on
congressmen,co,ngressmen,congress,men
resolution,re,solution,resoluti,on
resolution,re,solution,resoluti,on
hopper,ho,pper,hopp,er
event,e,vent,even,t
increase,in,crease,increas,e
funds,f,unds,fund,s
priority,p,riority,priorit,y
teacher,te,acher,teach,er
pay,pa,y,pa,y
raises,ra,ises,raise,s
controversy,co,ntroversy,controvers,y
school,s,chool,schoo,l
superintendent,s,uperintendent,superintenden,t
policeman,po,liceman,policem,an
election,e,lection,electi,on
county,co,unty,count,y
school,s,chool,schoo,l
superintendent,s,uperintendent,superintenden,t
agriculture,a,griculture,agricultur,e
teacher,te,acher,teach,er
school,s,chool,schoo,l
principal,p,rincipal,princip,al
chairman,c,hairman,chairm,an
votes,vo,tes,vote,s
election,e,lection,electi,on
pistol,pi,stol,pisto,l
polls,po,lls,poll,s
order,o,rder,ord,er
election,e,lection,electi,on
polls,po,lls,poll,s
church,c,hurch,churc,h
drop,d,rop,dro,p
liquor,li,quor,liqu,or
bit,bi,t,bi,t
trouble,t,rouble,troubl,e
campaign,ca,mpaign,campaig,n
election,e,lection,electi,on
controversy,co,ntroversy,controvers,y
midnight,m,idnight,midnigh,t
phone,p,hone,phon,e
calls,ca,lls,call,s
threats,t,hreats,threat,s
violence,vi,olence,violenc,e
county,co,unty,count,y
school,s,chool,schoo,l
superintendent,s,uperintendent,superintenden,t
death,de,ath,dea,th
days,da,ys,day,s
post,po,st,pos,t
dispute,dis,pute,disput,e
county,co,unty,count,y
school,s,chool,schoo,l
board,bo,ard,bo,ard
election,e,lection,electi,on
campaign,ca,mpaign,campaig,n
candidates,ca,ndidates,candidate,s
telephone,te,lephone,telephon,e
calls,ca,lls,call,s
calls,ca,lls,call,s
election,e,lection,electi,on
citizens,c,itizens,citizen,s
irregularities,i,rregularities,irregularitie,s
polls,po,lls,poll,s
permit,p,ermit,permi,t
gun,g,un,gu,n
election,e,lection,electi,on
ordinary,o,rdinary,ordinar,y
promise,pro,mise,promis,e
sheriff,s,heriff,sherif,f
bit,bi,t,bi,t
trouble,t,rouble,troubl,e
Committee,Co,mmittee,Committe,e
approval,a,pproval,approv,al
property,pro,perty,propert,y
act,a,ct,ac,t
protests,pro,tests,protest,s
bankers,ba,nkers,banker,s
fight,fi,ght,figh,t
measure,m,easure,measur,e
rejection,re,jection,rejecti,on
hearing,he,aring,hear,ing
committee,co,mmittee,committe,e
rules,ru,les,rule,s
subcommittee,s,ubcommittee,subcommitte,e
week,we,ek,wee,k
questions,que,stions,question,s
committee,co,mmittee,committe,e
members,m,embers,member,s
bankers,ba,nkers,banker,s
witnesses,wi,tnesses,witnesse,s
doubt,do,ubt,doub,t
passage,pa,ssage,passag,e
estimate,e,stimate,estimat,e
dollars,do,llars,dollar,s
deficit,de,ficit,defici,t
dollars,do,llars,dollar,s
end,e,nd,en,d
year,y,ear,ye,ar
committee,co,mmittee,committe,e
measure,m,easure,measur,e
means,m,eans,mean,s
escheat,e,scheat,eschea,t
law,la,w,l,aw
books,bo,oks,book,s
republic,re,public,republ,ic
state,s,tate,stat,e
bank,ba,nk,ban,k
accounts,a,ccounts,account,s
stocks,s,tocks,stock,s
property,pro,perty,propert,y
persons,p,ersons,person,s
years,y,ears,year,s
bill,bi,ll,bil,l
banks,ba,nks,bank,s
insurance,in,surance,insuranc,e
firms,fi,rms,firm,s
pipeline,pi,peline,pipelin,e
companies,co,mpanies,companie,s
corporations,co,rporations,corporation,s
property,pro,perty,propert,y
state,s,tate,stat,e
treasurer,t,reasurer,treasur,er
escheat,e,scheat,eschea,t
law,la,w,l,aw
property,pro,perty,propert,y
lawyer,la,wyer,lawy,er
opposition,o,pposition,oppositi,on
keynote,k,eynote,keynot,e
banks,ba,nks,bank,s
obligations,o,bligations,obligation,s
depositors,de,positors,depositor,s
confidence,co,nfidence,confidenc,e
bank,ba,nk,ban,k
customers,c,ustomers,customer,s
confidence,co,nfidence,confidenc,e
banks,ba,nks,bank,s
economy,e,conomy,econom,y
circulation,c,irculation,circulati,on
millions,m,illions,million,s
dollars,do,llars,dollar,s
sponsor,s,ponsor,spons,or
bill,bi,ll,bil,l
failure,fa,ilure,failur,e
gift,g,ift,gif,t
pockets,po,ckets,pocket,s
banks,ba,nks,bank,s
insurance,in,surance,insuranc,e
pipeline,pi,peline,pipelin,e
companies,co,mpanies,companie,s
contention,co,ntention,contenti,on
bankers,ba,nkers,banker,s
bill,bi,ll,bil,l
contracts,co,ntracts,contract,s
notice,no,tice,notic,e
hearing,he,aring,hear,ing
bill,bi,ll,bil,l
Senators,S,enators,Senator,s
bill,bi,ll,bil,l
establishment,e,stablishment,establishmen,t
day,da,y,da,y
schools,s,chools,school,s
counties,co,unties,countie,s
bill,bi,ll,bil,l
schooling,s,chooling,school,ing
students,s,tudents,student,s
age,a,ge,ag,e
cost,co,st,cos,t
state,s,tate,stat,e
debate,de,bate,debat,e
bill,bi,ll,bil,l
day,da,y,da,y
schools,s,chools,school,s
counties,co,unties,countie,s
population,po,pulation,populati,on
children,c,hildren,childr,en
years,y,ears,year,s
age,a,ge,ag,e
day,da,y,da,y
schools,s,chools,school,s
ones,o,nes,one,s
budget,bu,dget,budg,et
day,da,y,da,y
schools,s,chools,school,s
counties,co,unties,countie,s
$451,500,$,451,500,$451,50,0
savings,sa,vings,saving,s
$157,460,$1,57,460,$157,46,0
capital,ca,pital,capit,al
outlay,o,utlay,outla,y
$88,000,$,88,000,$88,00,0
TEA,T,EA,TE,A
scholastics,s,cholastics,scholastic,s
day,da,y,da,y
school,s,chool,schoo,l
state,s,tate,stat,e
school,s,chool,schoo,l
debate,de,bate,debat,e
horse,ho,rse,hors,e
race,ra,ce,rac,e
parimutuels,pa,rimutuels,parimutuel,s
details,de,tails,detail,s
folks,fo,lks,folk,s
amendment,a,mendment,amendmen,t
letters,le,tters,letter,s
horse,ho,rse,hors,e
race,ra,ce,rac,e
betting,be,tting,bett,ing
people,p,eople,peopl,e
question,que,stion,questi,on
career,ca,reer,care,er
advocacy,a,dvocacy,advocac,y
ponies,po,nies,ponie,s
committee,co,mmittee,committe,e
option,o,ption,opti,on
proposal,pro,posal,propos,al
report,re,port,repor,t
resolution,re,solution,resoluti,on
sledding,s,ledding,sledd,ing
house,ho,use,hous,e
bill,bi,ll,bil,l
authority,a,uthority,authorit,y
assistance,a,ssistance,assistanc,e
cities,c,ities,citie,s
senate,s,enate,senat,e
fare,fa,re,far,e
bills,bi,lls,bill,s
committees,co,mmittees,committee,s
calendar,ca,lendar,calend,ar
acts,a,cts,act,s
school,s,chool,schoo,l
districts,dis,tricts,district,s
authority,a,uthority,authorit,y
act,a,ct,ac,t
creation,c,reation,creati,on
amendment,a,mendment,amendmen,t
dissent,dis,sent,dissen,t
senators,s,enators,senator,s
bill,bi,ll,bil,l
establishment,e,stablishment,establishmen,t
future,f,uture,futur,e
school,s,chool,schoo,l
district,dis,trict,distric,t
Money,M,oney,Mone,y
construction,co,nstruction,constructi,on
meantime,m,eantime,meantim,e
board,bo,ard,bo,ard
gifts,g,ifts,gift,s
donations,do,nations,donation,s
site,s,ite,sit,e
tax,ta,x,ta,x
revision,re,vision,revisi,on
bills,bi,lls,bill,s
retailers,re,tailers,retailer,s
group,g,roup,gro,up
excise,e,xcise,excis,e
taxes,ta,xes,taxe,s
requirement,re,quirement,requiremen,t
return,re,turn,retur,n
retailers,re,tailers,retailer,s
certificate,c,ertificate,certificat,e
correctness,co,rrectness,correctnes,s
violation,vi,olation,violati,on
penalty,p,enalty,penalt,y
years,y,ears,year,s
prison,p,rison,pris,on
$1,000,$1,,000,$1,00,0
fine,fi,ne,fin,e
series,s,eries,serie,s
recommendations,re,commendations,recommendation,s
bill,bi,ll,bil,l
estate,e,state,estat,e
brokers,b,rokers,broker,s
fee,fe,e,fe,e
$12,$1,2,$1,2
occupation,o,ccupation,occupati,on
license,li,cense,licens,e
brokers,b,rokers,broker,s
stocks,s,tocks,stock,s
bonds,bo,nds,bond,s
gas,ga,s,ga,s
utility,u,tility,utilit,y
companies,co,mpanies,companie,s
right,ri,ght,righ,t
domain,do,main,doma,in
bill,bi,ll,bil,l
sites,s,ites,site,s
storage,s,torage,storag,e
reservoirs,re,servoirs,reservoir,s
gas,ga,s,ga,s
chairman,c,hairman,chairm,an
plan,p,lan,pl,an
appointment,a,ppointment,appointmen,t
vacancies,va,cancies,vacancie,s
need,ne,ed,n,eed
elections,e,lections,election,s
plan,p,lan,pl,an
appointee,a,ppointee,appointe,e
board,bo,ard,bo,ard
governor,g,overnor,govern,or
lieutenant,li,eutenant,lieutenan,t
governor,g,overnor,govern,or
speaker,s,peaker,speak,er
attorney,a,ttorney,attorne,y
general,g,eneral,gener,al
justice,ju,stice,justic,e
State,S,tate,Stat,e
representatives,re,presentatives,representative,s
poll,po,ll,pol,l
kind,k,ind,kin,d
taxes,ta,xes,taxe,s
vote,vo,te,vot,e
bill,bi,ll,bil,l
referendum,re,ferendum,referend,um
ballot,ba,llot,ballo,t
senator,s,enator,senat,or
sponsor,s,ponsor,spons,or
poll,po,ll,pol,l
idea,i,dea,ide,a
delay,de,lay,dela,y
committee,co,mmittee,committe,e
bill,bi,ll,bil,l
committee,co,mmittee,committe,e
hearing,he,aring,hear,ing
proposal,pro,posal,propos,al
approval,a,pproval,approv,al
majorities,ma,jorities,majoritie,s
ballot,ba,llot,ballo,t
Opponents,O,pponents,Opponent,s
ballot,ba,llot,ballo,t
information,in,formation,informati,on
tax,ta,x,ta,x
proposals,pro,posals,proposal,s
voters,vo,ters,voter,s
choice,c,hoice,choic,e
members,m,embers,member,s
water,wa,ter,wat,er
needs,ne,eds,need,s
cities,c,ities,citie,s
water,wa,ter,wat,er
development,de,velopment,developmen,t
bill,bi,ll,bil,l
effort,e,ffort,effor,t
cities,c,ities,citie,s
places,p,laces,place,s
hamlet,ha,mlet,haml,et
people,p,eople,peopl,e
shouting,s,houting,shout,ing
bill,bi,ll,bil,l
proposal,pro,posal,propos,al
fire,fi,re,fir,e
bill,bi,ll,bil,l
$5,000,000,$,5,000,000,$5,000,00,0
$15,000,000,$1,5,000,000,$15,000,00,0
loan,lo,an,lo,an
state,s,tate,stat,e
water,wa,ter,wat,er
project,pro,ject,projec,t
effort,e,ffort,effor,t
cities,c,ities,citie,s
money,m,oney,mone,y
water,wa,ter,wat,er
Statements,S,tatements,Statement,s
legislators,le,gislators,legislator,s
water,wa,ter,wat,er
program,pro,gram,progra,m
bonds,bo,nds,bond,s
places,p,laces,place,s
bill,bi,ll,bil,l
attack,a,ttack,att,ack
defenders,de,fenders,defender,s
legislators,le,gislators,legislator,s
bill,bi,ll,bil,l
bonds,bo,nds,bond,s
peanut,p,eanut,peanu,t
districts,dis,tricts,district,s
teacher,te,acher,teach,er
law,la,w,l,aw
time,t,ime,tim,e
methods,m,ethods,method,s
history,hi,story,histor,y
schools,s,chools,school,s
semester,s,emester,semest,er
hours,ho,urs,hour,s
methods,m,ethods,method,s
courses,co,urses,course,s
school,s,chool,schoo,l
certificate,c,ertificate,certificat,e
work,work,,wor,k
college,co,llege,colleg,e
semester,s,emester,semest,er
hours,ho,urs,hour,s
high,hi,gh,hig,h
teachers,te,achers,teacher,s
semester,s,emester,semest,er
hours,ho,urs,hour,s
subject,s,ubject,subjec,t
remainder,re,mainder,remaind,er
college,co,llege,colleg,e
requirement,re,quirement,requiremen,t
subjects,s,ubjects,subject,s
person,p,erson,pers,on
degree,de,gree,degre,e
physics,p,hysics,physic,s
chemistry,c,hemistry,chemistr,y
math,ma,th,ma,th
courses,co,urses,course,s
schools,s,chools,school,s
College,Co,llege,Colleg,e
teachers,te,achers,teacher,s
courses,co,urses,course,s
representatives,re,presentatives,representative,s
proposal,pro,posal,propos,al
board,bo,ard,bo,ard
regents,re,gents,regent,s
president,p,resident,presiden,t
close,c,lose,clos,e
school,s,chool,schoo,l
term,te,rm,ter,m
degree,de,gree,degre,e
degree,de,gree,degre,e
degree,de,gree,degre,e
addition,a,ddition,additi,on
college,co,llege,colleg,e
career,ca,reer,care,er
captain,ca,ptain,capta,in
basketball,ba,sketball,basketb,all
team,te,am,tea,m
football,fo,otball,footb,all
letterman,le,tterman,letterm,an
teacher,te,acher,teach,er
principal,p,rincipal,princip,al
schools,s,chools,school,s
teacher,te,acher,teach,er
director,di,rector,direct,or
instructor,in,structor,instruct,or
professor,pro,fessor,profess,or
education,e,ducation,educati,on
border,bo,rder,bord,er
patrolman,pa,trolman,patrolm,an
Principals,P,rincipals,Principal,s
schools,s,chools,school,s
session,s,ession,sessi,on
recommendation,re,commendation,recommendati,on
State,S,tate,Stat,e
legislation,le,gislation,legislati,on
discrimination,dis,crimination,discriminati,on
employment,e,mployment,employmen,t
report,re,port,repor,t
ribbon,ri,bbon,ribb,on
citizens,c,itizens,citizen,s
committee,co,mmittee,committe,e
aid,a,id,ai,d
children,c,hildren,childr,en
report,re,port,repor,t
year,y,ear,ye,ar
study,s,tudy,stud,y
ADC,A,DC,AD,C
program,pro,gram,progra,m
county,co,unty,count,y
welfare,we,lfare,welfar,e
firm,fi,rm,fir,m
range,ra,nge,rang,e
recommendations,re,commendations,recommendation,s
ADC,A,DC,AD,C
case,ca,se,cas,e
load,lo,ad,loa,d
report,re,port,repor,t
discrimination,dis,crimination,discriminati,on
employment,e,mployment,employmen,t
causes,ca,uses,cause,s
family,fa,mily,famil,y
breakdown,b,reakdown,breakdow,n
desertion,de,sertion,deserti,on
ADC,A,DC,AD,C
dependency,de,pendency,dependenc,y
cost,co,st,cos,t
ADC,A,DC,AD,C
recipients,re,cipients,recipient,s
county,co,unty,count,y
dollars,do,llars,dollar,s
president,p,resident,presiden,t
committee,co,mmittee,committe,e
chairman,c,hairman,chairm,an
problems,pro,blems,problem,s
people,p,eople,peopl,e
ADC,A,DC,AD,C
subsistence,s,ubsistence,subsistenc,e
volume,vo,lume,volum,e
ADC,A,DC,AD,C
cases,ca,ses,case,s
community,co,mmunity,communit,y
problems,pro,blems,problem,s
skills,s,kills,skill,s
discrimination,dis,crimination,discriminati,on
employment,e,mployment,employmen,t
color,co,lor,col,or
causes,ca,uses,cause,s
family,fa,mily,famil,y
breakups,b,reakups,breakup,s
ADC,A,DC,AD,C
recommendations,re,commendations,recommendation,s
committee,co,mmittee,committe,e
Extension,E,xtension,Extensi,on
ADC,A,DC,AD,C
program,pro,gram,progra,m
children,c,hildren,childr,en
need,ne,ed,n,eed
relatives,re,latives,relative,s
parents,pa,rents,parent,s
means,m,eans,mean,s
family,fa,mily,famil,y
unity,un,ity,unit,y
Research,Re,search,Researc,h
projects,pro,jects,project,s
causes,ca,uses,cause,s
prevention,p,revention,preventi,on
dependency,de,pendency,dependenc,y
illegitimacy,i,llegitimacy,illegitimac,y
defendants,de,fendants,defendant,s
police,po,lice,polic,e
burglary,bu,rglary,burglar,y
trial,tri,al,tri,al
statements,s,tatements,statement,s
guilt,g,uilt,guil,t
time,t,ime,tim,e
arrest,a,rrest,arres,t
court,co,urt,cour,t
disclosure,dis,closure,disclosur,e
defense,de,fense,defens,e
counsel,co,unsel,couns,el
observers,o,bservers,observer,s
prelude,p,relude,prelud,e
quarrel,qua,rrel,quarr,el
attorneys,a,ttorneys,attorney,s
policemen,po,licemen,police,men
trial,tri,al,tri,al
disclosure,dis,closure,disclosur,e
client,c,lient,clien,t
trial,tri,al,tri,al
request,re,quest,reques,t
jury,ju,ry,jur,y
courtroom,co,urtroom,courtroo,m
statements,s,tatements,statement,s
client,c,lient,clien,t
court,co,urt,cour,t
defendants,de,fendants,defendant,s
property,pro,perty,propert,y
trial,tri,al,tri,al
defendants,de,fendants,defendant,s
statements,s,tatements,statement,s
others,o,thers,other,s
bench,be,nch,benc,h
defendants,de,fendants,defendant,s
statements,s,tatements,statement,s
honor,ho,nor,hon,or
fight,fi,ght,figh,t
case,ca,se,cas,e
conflict,co,nflict,conflic,t
defendants,de,fendants,defendant,s
business,bu,siness,busines,s
time,t,ime,tim,e
attention,a,ttention,attenti,on
crisis,c,risis,crisi,s
address,a,ddress,addres,s
night,ni,ght,nigh,t
people,p,eople,peopl,e
television,te,levision,televisi,on
radio,ra,dio,radi,o
summer,s,ummer,summ,er
home,ho,me,hom,e
drafts,d,rafts,draft,s
portions,po,rtions,portion,s
address,a,ddress,addres,s
help,he,lp,hel,p
aids,a,ids,aid,s
telephone,te,lephone,telephon,e
midmorning,m,idmorning,midmorn,ing
spokesman,s,pokesman,spokesm,an
address,a,ddress,addres,s
text,te,xt,tex,t
way,wa,y,wa,y
completion,co,mpletion,completi,on
press,p,ress,pres,s
secretary,s,ecretary,secretar,y
drafts,d,rafts,draft,s
work,work,,wor,k
advisers,a,dvisers,adviser,s
members,m,embers,member,s
staff,s,taff,staf,f
address,a,ddress,addres,s
composition,co,mposition,compositi,on
minute,m,inute,minut,e
decisions,de,cisions,decision,s
administration,a,dministration,administrati,on
plans,p,lans,plan,s
crisis,c,risis,crisi,s
demands,de,mands,demand,s
proposals,pro,posals,proposal,s
city,c,ity,cit,y
cases,ca,ses,case,s
investigation,in,vestigation,investigati,on
election,e,lection,electi,on
prosecution,pro,secution,prosecuti,on
evidence,e,vidence,evidenc,e
means,m,eans,mean,s
cases,ca,ses,case,s
